ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,CensusTractNo,County,State,ID Geography,Geoid10
2017,2017,0,Total,56278,7635,"Census Tract 1405, Cook County, IL",1405,Cook County,IL,14000US17031140500,17031140500
2017,2017,0,Total,29476,5453,"Census Tract 8392, Cook County, IL",8392,Cook County,IL,14000US17031839200,17031839200
2017,2017,0,Total,61438,5269,"Census Tract 7207, Cook County, IL",7207,Cook County,IL,14000US17031720700,17031720700
2017,2017,0,Total,45769,9014,"Census Tract 1406.01, Cook County, IL",1406.01,Cook County,IL,14000US17031140601,17031140601
2017,2017,0,Total,26786,4191,"Census Tract 6113, Cook County, IL",6113,Cook County,IL,14000US17031611300,17031611300
2017,2017,0,Total,60508,17320,"Census Tract 1406.02, Cook County, IL",1406.02,Cook County,IL,14000US17031140602,17031140602
2017,2017,0,Total,27697,3841,"Census Tract 6112, Cook County, IL",6112,Cook County,IL,14000US17031611200,17031611200
2017,2017,0,Total,60100,9379,"Census Tract 1407.01, Cook County, IL",1407.01,Cook County,IL,14000US17031140701,17031140701
2017,2017,0,Total,51324,2786,"Census Tract 1407.02, Cook County, IL",1407.02,Cook County,IL,14000US17031140702,17031140702
2017,2017,0,Total,90489,13773,"Census Tract 8391, Cook County, IL",8391,Cook County,IL,14000US17031839100,17031839100
2017,2017,0,Total,24972,3087,"Census Tract 6111, Cook County, IL",6111,Cook County,IL,14000US17031611100,17031611100
2017,2017,0,Total,69545,16171,"Census Tract 1408, Cook County, IL",1408,Cook County,IL,14000US17031140800,17031140800
2017,2017,0,Total,64545,10851,"Census Tract 1502, Cook County, IL",1502,Cook County,IL,14000US17031150200,17031150200
2017,2017,0,Total,20813,2419,"Census Tract 6110, Cook County, IL",6110,Cook County,IL,14000US17031611000,17031611000
2017,2017,0,Total,74106,3275,"Census Tract 1503, Cook County, IL",1503,Cook County,IL,14000US17031150300,17031150300
2017,2017,0,Total,70203,7914,"Census Tract 1504.01, Cook County, IL",1504.01,Cook County,IL,14000US17031150401,17031150401
2017,2017,0,Total,84347,13116,"Census Tract 8390, Cook County, IL",8390,Cook County,IL,14000US17031839000,17031839000
2017,2017,0,Total,50385,15460,"Census Tract 7301, Cook County, IL",7301,Cook County,IL,14000US17031730100,17031730100
2017,2017,0,Total,64545,9670,"Census Tract 1504.02, Cook County, IL",1504.02,Cook County,IL,14000US17031150402,17031150402
2017,2017,0,Total,44353,11724,"Census Tract 6108, Cook County, IL",6108,Cook County,IL,14000US17031610800,17031610800
2017,2017,0,Total,65893,6048,"Census Tract 1505.01, Cook County, IL",1505.01,Cook County,IL,14000US17031150501,17031150501
2017,2017,0,Total,26580,7161,"Census Tract 6104, Cook County, IL",6104,Cook County,IL,14000US17031610400,17031610400
2017,2017,0,Total,57857,4704,"Census Tract 1505.02, Cook County, IL",1505.02,Cook County,IL,14000US17031150502,17031150502
2017,2017,0,Total,65543,10996,"Census Tract 1506, Cook County, IL",1506,Cook County,IL,14000US17031150600,17031150600
2017,2017,0,Total,19155,5558,"Census Tract 8388, Cook County, IL",8388,Cook County,IL,14000US17031838800,17031838800
2017,2017,0,Total,35325,7140,"Census Tract 6103, Cook County, IL",6103,Cook County,IL,14000US17031610300,17031610300
2017,2017,0,Total,69265,9898,"Census Tract 1507, Cook County, IL",1507,Cook County,IL,14000US17031150700,17031150700
2017,2017,0,Total,54414,9145,"Census Tract 1508, Cook County, IL",1508,Cook County,IL,14000US17031150800,17031150800
2017,2017,0,Total,51607,8994,"Census Tract 6009, Cook County, IL",6009,Cook County,IL,14000US17031600900,17031600900
2017,2017,0,Total,49674,9314,"Census Tract 1510.01, Cook County, IL",1510.01,Cook County,IL,14000US17031151001,17031151001
2017,2017,0,Total,48225,7652,"Census Tract 1510.02, Cook County, IL",1510.02,Cook County,IL,14000US17031151002,17031151002
2017,2017,0,Total,22742,4568,"Census Tract 8387, Cook County, IL",8387,Cook County,IL,14000US17031838700,17031838700
2017,2017,0,Total,26706,6523,"Census Tract 7302.01, Cook County, IL",7302.01,Cook County,IL,14000US17031730201,17031730201
2017,2017,0,Total,58269,3401,"Census Tract 1511, Cook County, IL",1511,Cook County,IL,14000US17031151100,17031151100
2017,2017,0,Total,32301,4624,"Census Tract 6007, Cook County, IL",6007,Cook County,IL,14000US17031600700,17031600700
2017,2017,0,Total,54671,15861,"Census Tract 1512, Cook County, IL",1512,Cook County,IL,14000US17031151200,17031151200
2017,2017,0,Total,34069,4472,"Census Tract 6006, Cook County, IL",6006,Cook County,IL,14000US17031600600,17031600600
2017,2017,0,Total,65161,11683,"Census Tract 1601, Cook County, IL",1601,Cook County,IL,14000US17031160100,17031160100
2017,2017,0,Total,74219,26953,"Census Tract 1602, Cook County, IL",1602,Cook County,IL,14000US17031160200,17031160200
2017,2017,0,Total,14850,4662,"Census Tract 8386, Cook County, IL",8386,Cook County,IL,14000US17031838600,17031838600
2017,2017,0,Total,32500,8074,"Census Tract 6004, Cook County, IL",6004,Cook County,IL,14000US17031600400,17031600400
2017,2017,0,Total,51511,6007,"Census Tract 1603, Cook County, IL",1603,Cook County,IL,14000US17031160300,17031160300
2017,2017,0,Total,49216,5390,"Census Tract 1604, Cook County, IL",1604,Cook County,IL,14000US17031160400,17031160400
2017,2017,0,Total,42792,6004,"Census Tract 5907, Cook County, IL",5907,Cook County,IL,14000US17031590700,17031590700
2017,2017,0,Total,56477,6779,"Census Tract 1605.01, Cook County, IL",1605.01,Cook County,IL,14000US17031160501,17031160501
2017,2017,0,Total,58776,6263,"Census Tract 1605.02, Cook County, IL",1605.02,Cook County,IL,14000US17031160502,17031160502
2017,2017,0,Total,44875,12963,"Census Tract 8383, Cook County, IL",8383,Cook County,IL,14000US17031838300,17031838300
2017,2017,0,Total,48564,12180,"Census Tract 7302.02, Cook County, IL",7302.02,Cook County,IL,14000US17031730202,17031730202
2017,2017,0,Total,67113,11824,"Census Tract 1606.01, Cook County, IL",1606.01,Cook County,IL,14000US17031160601,17031160601
2017,2017,0,Total,39005,4556,"Census Tract 5906, Cook County, IL",5906,Cook County,IL,14000US17031590600,17031590600
2017,2017,0,Total,59821,10643,"Census Tract 1606.02, Cook County, IL",1606.02,Cook County,IL,14000US17031160602,17031160602
2017,2017,0,Total,55667,10477,"Census Tract 5905, Cook County, IL",5905,Cook County,IL,14000US17031590500,17031590500
2017,2017,0,Total,65281,20287,"Census Tract 1607, Cook County, IL",1607,Cook County,IL,14000US17031160700,17031160700
2017,2017,0,Total,57261,8497,"Census Tract 1608, Cook County, IL",1608,Cook County,IL,14000US17031160800,17031160800
2017,2017,0,Total,36389,18532,"Census Tract 8382, Cook County, IL",8382,Cook County,IL,14000US17031838200,17031838200
2017,2017,0,Total,40238,15645,"Census Tract 5808, Cook County, IL",5808,Cook County,IL,14000US17031580800,17031580800
2017,2017,0,Total,80551,16018,"Census Tract 1609, Cook County, IL",1609,Cook County,IL,14000US17031160900,17031160900
2017,2017,0,Total,73342,4931,"Census Tract 1610, Cook County, IL",1610,Cook County,IL,14000US17031161000,17031161000
2017,2017,0,Total,43553,4022,"Census Tract 5807, Cook County, IL",5807,Cook County,IL,14000US17031580700,17031580700
